Iterator Time:10
No.366   Rule:B(l*0.6,w*0.85,y*0.6)
No.367   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.368   Length:0.84465   Redius:1.6893   LeafAmount:2   
No.369   Length:1.09164   Redius:2.18327   LeafAmount:0   
No.370   Length:0.880815   Redius:1.76163   LeafAmount:2   
No.371   Length:1.12033   Redius:2.24067   LeafAmount:0   
No.372   Length:0.944151   Redius:1.8883   LeafAmount:2   
No.373   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.374   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.375   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.376   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.377   Rule:B(l*0.6,w*0.85,y*0.6)
No.378   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.379   Length:0.84465   Redius:1.6893   LeafAmount:2   
No.380   Length:1.09164   Redius:2.18327   LeafAmount:0   
No.381   Length:0.880815   Redius:1.76163   LeafAmount:2   
No.382   Length:1.12033   Redius:2.24067   LeafAmount:0   
No.383   Length:0.944151   Redius:1.8883   LeafAmount:2   
No.384   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.385   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.386   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.387   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.388   Rule:B(l*0.6,w*0.85,y*0.6)
No.389   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.390   Length:0.84465   Redius:1.6893   LeafAmount:2   
No.391   Length:1.09164   Redius:2.18327   LeafAmount:0   
No.392   Length:0.880815   Redius:1.76163   LeafAmount:2   
No.393   Length:1.12033   Redius:2.24067   LeafAmount:0   
No.394   Length:0.944151   Redius:1.8883   LeafAmount:2   
No.395   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.396   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.397   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.398   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.399   Rule:B(l*0.6,w*0.85,y*0.6)
No.400   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.401   Length:0.84465   Redius:1.6893   LeafAmount:2   
No.402   Length:1.09164   Redius:2.18327   LeafAmount:0   
No.403   Length:0.880815   Redius:1.76163   LeafAmount:2   
No.404   Length:1.12033   Redius:2.24067   LeafAmount:0   
No.405   Length:0.944151   Redius:1.8883   LeafAmount:2   
No.406   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.407   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.408   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.409   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.410   Rule:B(l*0.6,w*0.85,y*0.6)
No.411   Length:1.06426   Redius:2.12852   LeafAmount:0   
No.412   Length:1.08021   Redius:2.16043   LeafAmount:0   
No.413   Length:1.09571   Redius:2.19142   LeafAmount:0   
No.414   Length:1.10682   Redius:2.21363   LeafAmount:0   
No.415   Length:0.891199   Redius:1.7824   LeafAmount:2   
No.416   Length:1.13476   Redius:2.26952   LeafAmount:0   
No.417   Length:0.954949   Redius:1.9099   LeafAmount:2   
No.418   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.419   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.420   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.421   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.422   Rule:B(l*0.6,w*0.85,y*0.6)
